	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGBKPADF_00691	332.207251504258	-0.196752046272595	0.141074435199606	-1.39466832522994	0.163115880788963	0.688711496664509
FGBKPADF_00692	478.236454584945	-0.146813254508749	0.107379121798609	-1.36724208626049	0.171549437677098	0.69742063453365
FGBKPADF_00693	160.331687783656	-0.167912885493428	0.156840549564858	-1.07059613065173	0.284351064036309	NA
FGBKPADF_00694	1415.25638826053	-0.207154742293536	0.0714135459401466	-2.90077659030063	0.00372239164679219	0.141450882578103
FGBKPADF_00695	27.4390351155932	-0.0923152773545319	0.402773549470474	-0.22919895677335	0.81871428337685	NA
FGBKPADF_00696	144.714068486233	-0.363240226610488	0.192976448206593	-1.88230341052612	0.0597948317168503	NA
FGBKPADF_00697	154.437237961666	-0.266338895604804	0.206360055238997	-1.29065140681583	0.196824581742547	NA
FGBKPADF_00698	184.204938702461	-0.0709297176397429	0.194747842686835	-0.364213110970382	0.715698877249533	NA
FGBKPADF_00699	242.597290989331	-0.368189915282773	0.135895712765664	-2.70935637180602	0.00674138862448561	NA
FGBKPADF_00700	175.114462360124	-0.357680574725374	0.16436696826561	-2.17610982607757	0.0295470493575424	NA
FGBKPADF_00701	166.070081362207	-0.0797043807566689	0.199495193346147	-0.399530331632465	0.689502478934328	NA
FGBKPADF_00702	96.387533568954	-0.399347872042255	0.210220577586032	-1.89966118744405	0.0574775968694206	NA
FGBKPADF_00703	83.7335011179702	-0.139579393933566	0.245438688896224	-0.568693528152698	0.5695641405974	NA
FGBKPADF_00704	102.86053692961	-0.545524229453072	0.252767063413345	-2.15820930973505	0.0309115619117369	NA
FGBKPADF_00705	107.652568453694	-0.107260608509049	0.299458126544336	-0.358182326680552	0.720206872310315	NA
FGBKPADF_00706	131.046477271938	-0.22318899871414	0.196254752221071	-1.1372412448017	0.25543744928452	NA
FGBKPADF_00707	62.0462300252796	-0.111326518554447	0.270207746214441	-0.412003431115911	0.68033690835898	NA
FGBKPADF_00708	76.4725528484183	-0.143703486855079	0.277232546482869	-0.518349986962871	0.60421410246033	NA
FGBKPADF_00709	205.354559933104	-0.507214800114102	0.165156866026865	-3.07110937810843	0.00213265010981517	NA
FGBKPADF_00710	193.835521781881	-0.230736976878368	0.188108503588436	-1.22661640742834	0.219966799458142	NA
FGBKPADF_00711	1031.73429406409	-0.19147229792419	0.0736230505699509	-2.60071127781194	0.0093030713755756	0.209281893664949
FGBKPADF_00712	2219.25633909208	-0.0718478439547901	0.0724938812979867	-0.991088387990415	0.321642422584853	0.819100872941212
FGBKPADF_00713	9635.24156117218	-0.0613787322689318	0.0602919173399145	-1.01802588102963	0.308665656759889	0.814228730589877
FGBKPADF_00714	467.451578062995	0.358892706557697	0.133830414623951	2.68169763626711	0.00732496324744234	0.192502772446802
FGBKPADF_00715	548.31802287996	-0.0491642059279516	0.110760326328724	-0.443879207994005	0.65712991771266	0.933224707664637
FGBKPADF_00716	1125.29584411538	0.118136124409034	0.114236503393503	1.03413638285215	0.301072409601391	0.810934497891868
FGBKPADF_00717	625.913642527036	0.0451908961353352	0.148747291158295	0.303809876357637	0.76127274194275	0.963488581734396
FGBKPADF_00718	576.059987134726	0.0576607763323082	0.136625156525668	0.422036305747801	0.672998517705349	0.93987404023072
FGBKPADF_00719	1265.72843643014	0.170771919686408	0.124125416533473	1.37580138263105	0.168883133287418	0.69742063453365
